claim_id,policy_id,customer_id,agent_id,claim_type,incident_date,claim_amount,days_since_policy_start,previous_claims_count,customer_age,policy_premium_ratio,surveyor_mismatch_flag,status,is_fraud
CLM-0001,POL-0484,CUST-0070,AGT-0016,life,2025-09-07,59637.8,185,2,50,1.25,0,rejected,0
CLM-0002,POL-0124,CUST-0203,AGT-0001,health,2025-08-07,88160.67,349,2,53,2.53,1,settled,0
CLM-0003,POL-0159,CUST-0064,AGT-0019,property_damage,2026-04-27,180235.42,168,3,34,1.96,1,settled,0
CLM-0004,POL-0163,CUST-0271,AGT-0001,property_damage,2026-03-15,33376.95,60,2,51,1.06,0,settled,0
CLM-0005,POL-0095,CUST-0028,AGT-0004,health,2026-02-02,495084.46,40,5,30,8.24,1,rejected,1
CLM-0006,POL-0353,CUST-0039,AGT-0001,life,2025-10-01,31146.89,649,3,48,1.34,0,pending,0
CLM-0007,POL-0017,CUST-0186,AGT-0018,motor_accident,2026-03-02,193918.94,306,3,39,10.58,0,rejected,0
CLM-0008,POL-0251,CUST-0114,AGT-0008,life,2025-12-22,174021.11,282,3,50,1.97,0,settled,0
CLM-0009,POL-0275,CUST-0259,AGT-0006,motor_accident,2026-01-26,175777.68,69,0,53,8.55,0,settled,0
CLM-0010,POL-0286,CUST-0149,AGT-0012,property_damage,2026-01-05,154206.18,80,1,43,1.81,0,settled,0
CLM-0011,POL-0314,CUST-0288,AGT-0016,motor_accident,2026-02-28,139540.83,175,3,53,3.07,0,settled,0
CLM-0012,POL-0202,CUST-0113,AGT-0001,motor_accident,2026-01-23,92922.74,213,3,62,3.48,0,settled,0
CLM-0013,POL-0047,CUST-0061,AGT-0015,health,2025-11-19,307289.45,24,3,29,9.14,1,rejected,1
CLM-0014,POL-0468,CUST-0274,AGT-0020,motor_accident,2025-10-29,174904.55,183,1,34,4.96,0,settled,0
CLM-0015,POL-0321,CUST-0280,AGT-0020,life,2025-09-18,180215.67,237,0,64,3.5,0,settled,0
CLM-0016,POL-0452,CUST-0163,AGT-0018,motor_accident,2026-01-26,47290.4,705,3,54,2.9,0,rejected,0
CLM-0017,POL-0322,CUST-0096,AGT-0006,motor_accident,2026-03-18,165924.24,80,1,34,5.11,0,rejected,0
CLM-0018,POL-0153,CUST-0220,AGT-0003,health,2025-10-10,22102.02,141,3,36,0.28,0,settled,0
CLM-0019,POL-0048,CUST-0061,AGT-0010,life,2026-03-24,67950.26,418,0,52,1.14,1,pending,0
CLM-0020,POL-0270,CUST-0008,AGT-0011,motor_accident,2025-09-26,45919.85,244,0,31,0.73,1,settled,0
CLM-0021,POL-0312,CUST-0281,AGT-0011,life,2025-09-21,55633.71,618,2,33,1.39,1,settled,0
