policy_id,customer_id,agent_id,product_id,product_type,start_date,end_date,premium_amount,term_months,status
POL-0001,CUST-0067,AGT-0014,PROD-004,Life,2025-02-08,2028-01-24,30266.77,36,active
POL-0002,CUST-0166,AGT-0008,PROD-001,Motor,2026-01-24,2028-01-14,19252.61,24,active
POL-0003,CUST-0101,AGT-0018,PROD-003,Property,2024-12-16,2027-12-01,69985.69,36,active
POL-0004,CUST-0258,AGT-0006,PROD-003,Property,2026-01-23,2029-01-07,54937.84,36,active
POL-0005,CUST-0015,AGT-0003,PROD-002,Health,2025-12-07,2028-11-21,52126.5,36,active
POL-0006,CUST-0016,AGT-0016,PROD-001,Motor,2024-08-13,2027-07-29,32091.81,36,lapsed
POL-0007,CUST-0153,AGT-0015,PROD-003,Property,2024-08-12,2027-07-28,46391.41,36,lapsed
POL-0008,CUST-0248,AGT-0015,PROD-001,Motor,2024-06-25,2025-06-20,13848.98,12,renewed
POL-0009,CUST-0177,AGT-0013,PROD-002,Health,2025-06-17,2027-06-07,25629.12,24,active
POL-0010,CUST-0063,AGT-0009,PROD-002,Health,2025-05-17,2026-05-12,25955.79,12,renewed
POL-0011,CUST-0197,AGT-0020,PROD-004,Life,2025-09-20,2027-09-10,27744.93,24,active
POL-0012,CUST-0098,AGT-0006,PROD-004,Life,2025-09-19,2027-09-09,85078.23,24,active
POL-0013,CUST-0255,AGT-0001,PROD-004,Life,2024-12-20,2029-11-24,59900.78,60,active
POL-0014,CUST-0299,AGT-0012,PROD-001,Motor,2025-04-24,2030-03-29,43767.41,60,active
POL-0015,CUST-0147,AGT-0018,PROD-001,Motor,2026-04-10,2029-03-25,26311.09,36,lapsed
POL-0016,CUST-0188,AGT-0013,PROD-001,Motor,2026-02-10,2031-01-15,12955.59,60,active
POL-0017,CUST-0186,AGT-0018,PROD-003,Property,2026-04-15,2031-03-20,18325.25,60,active
POL-0018,CUST-0061,AGT-0005,PROD-003,Property,2026-03-17,2031-02-19,47776.61,60,active
POL-0019,CUST-0286,AGT-0012,PROD-001,Motor,2025-04-23,2028-04-07,37411.2,36,active
POL-0020,CUST-0020,AGT-0005,PROD-002,Health,2025-11-09,2030-10-14,35003.9,60,active
POL-0021,CUST-0168,AGT-0020,PROD-003,Property,2025-01-31,2030-01-05,24681.14,60,active
POL-0022,CUST-0173,AGT-0017,PROD-003,Property,2025-12-16,2030-11-20,79390.02,60,active
POL-0023,CUST-0189,AGT-0011,PROD-004,Life,2024-06-05,2027-05-21,57991.41,36,active
POL-0024,CUST-0243,AGT-0009,PROD-001,Motor,2025-03-31,2028-03-15,37479.93,36,active
POL-0025,CUST-0076,AGT-0008,PROD-002,Health,2026-04-09,2031-03-14,18525.6,60,lapsed
POL-0026,CUST-0161,AGT-0014,PROD-001,Motor,2024-10-22,2025-10-17,15059.02,12,renewed
POL-0027,CUST-0032,AGT-0005,PROD-002,Health,2025-04-04,2027-03-25,30518.87,24,lapsed
POL-0028,CUST-0270,AGT-0013,PROD-002,Health,2024-11-03,2027-10-19,59906.14,36,lapsed
POL-0029,CUST-0280,AGT-0012,PROD-003,Property,2025-12-05,2030-11-09,74288.07,60,active
POL-0030,CUST-0143,AGT-0018,PROD-003,Property,2024-09-14,2029-08-19,27497.17,60,active
POL-0031,CUST-0251,AGT-0011,PROD-003,Property,2025-10-13,2028-09-27,65126.33,36,active
POL-0032,CUST-0203,AGT-0012,PROD-004,Life,2025-06-08,2028-05-23,43023.15,36,lapsed
